name                                  x         y          z     typ   spect         mass  m.unit    radius  unit     temp  orbits   orbit params - semimajor axis, period, excentricity

Proxima Centauri                 ,  2.945  , -3.056  ,  -0.143  , S   ,M5 Ve  ,     0.12  ,  Ms  ,  0.14  ,  Rs    ,  3050  , AB ,  10000*  ,              , 
Ross 490 b                       ,  7.252  , -3.658  ,  23.516  , PN  ,       ,     6.0   ,  Me  ,  2     ,  Re?   ,    47  ,    ,  5.2     ,    0.384     ,     0.45
LHS 3376                         , -2.321  , 21.906  ,  11.664  , S   ,M4.5 V ,     0.13  ,  Ms  ,  0.2   ,  Rs    ,  3200  ,    ,          ,              , 
107 Piscium                      ,-14.170  , 12.372  , -16.362  , S   ,K1 V   ,     0.81  ,  Ms  ,  0.85  ,  Rs    ,  5180  ,    ,          ,              , 
Luyten 499-56                    , 14.891  ,  1.681  , -20.022  , S   ,M3 V   ,     0.2   ,  Ms  ,  0.2   ,  Rs    ,  3400  ,    ,          ,              , 
Mu Cassiopeiae A                 ,-14.355  , 20.221  ,  -3.429  , S   ,G5 Vb  ,     0.74  ,  Ms  ,  0.82  ,  Rs    ,  5300  ,    ,          ,              , 
Mu Cassiopeiae B                 ,-14.355  , 20.221  ,  -3.429  , S   ,M      ,     0.17  ,  Ms  ,  0.29  ,  Rs    ,        , A  ,  7.8     ,    21.8      ,     0.56
Vega                             ,  9.069  , 21.839  ,   8.252  , S   ,A0 Va  ,     2.14  ,  Ms  ,  2.29  ,  Rs    ,  9600  ,    ,          ,              , 
Ross 556                         ,-19.129  ,  9.879  , -12.809  , S   ,M3 V   ,     0.38  ,  Ms  ,  0.36  ,  Rs    ,  3460  ,    ,          ,              , 
AN Sextantis                     , -7.899  ,-17.330  ,  16.406  , S   ,M2 V   ,     0.45  ,  Ms  ,        ,        ,  3500  ,    ,          ,              , 
HD 157881                        , 21.471  ,  9.902  ,   8.594  , S   ,K7 V   ,     0.6   ,  Ms  ,        ,        ,  3900  ,    ,          ,              , 
SIPS J1259-4336                  , 13.441  ,-19.632  ,   8.305  , S   ,M8 V   ,     0.08  ,  Ms  ,        ,        ,  2500  ,    ,          ,              , 
LP 881-64 A                      ,  2.230  ,  1.356  , -25.087  , S   ,M6 V   ,     0.112 ,  Ms  ,        ,        ,  2800  ,    ,          ,              , 
LP 881-64 B                      ,  2.230  ,  1.356  , -25.087  , S   ,M8.5 V ,     0.084 ,  Ms  ,        ,        ,  2300  , A  ,  14      ,    99        ,     0.12
LP 881-64 C                      ,  2.230  ,  1.356  , -25.087  , S   ,M9 V   ,     0.080 ,  Ms  ,        ,        ,  2300  , B  ,  3.8     ,    18.2      ,     0.08
G 192-13                         ,-21.673  , 10.540  ,   7.449  , S   ,M4 V   ,     0.2   ,  Ms  ,        ,        ,  3200  ,    ,          ,              , 
HD 165222                        , 22.625  , 10.491  ,   3.894  , S   ,M0 V   ,     0.6   ,  Ms  ,        ,        ,  3450  ,    ,          ,              , 
G 109-35                         ,-23.858  , -7.025  ,   4.565  , S   ,M5 Ve  ,     0.13  ,  Ms  ,        ,        ,  2900  ,    ,          ,              , 
G 227-22                         , -1.444  , 22.069  ,  12.533  , S   ,M5 V   ,     0.13  ,  Ms  ,        ,        ,  2900  ,    ,          ,              , 
WISEP J180026.60+013453.1        , 21.895  , 11.875  ,   5.321  , BD  ,L7.5   ,           ,      ,        ,        ,  1400  ,    ,          ,              , 
G 202-45 A                       ,  4.699  , 17.781  ,  17.787  , S   ,M3 V   ,     0.3   ,  Ms  ,        ,        ,  3400  ,    ,          ,              , 
G 202-45 B                       ,  4.699  , 17.781  ,  17.787  , S   ,M?     ,           ,      ,        ,        ,        ,    ,          ,              , 
CD-68 47 A                       ,  8.366  ,-14.413  , -19.568  , S   ,M2.5   ,     0.4   ,  Ms? ,        ,        ,        ,    ,          ,              , 
CD-68 47 B                       ,  8.366  ,-14.413  , -19.568  , S   ,M?     ,           ,      ,        ,        ,        , A  ,          ,    1.15      , 
2MASS J07290002-3954043          , -7.589  ,-24.237  ,  -4.677  , BD  ,T8     ,           ,      ,        ,        ,        ,    ,          ,              , 
G 154-44                         , 25.236  ,  6.179  ,   0.974  , S   ,M4 Ve  ,     0.2   ,  Ms  ,        ,        ,  2600, ,,,
